key,orchestrator,duration_s,ch0_eq_ch1,n_peaks_scipy,n_peaks_nk,n_peaks_agreement_pct,ectopic,missed,extra,longshort,artifact_rate_pct,n_rejected_scipy,filter_params,detection_method
E4A_3pm,steady_state,280.0,True,267,267,100.0,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E4A_6pm,steady_state,220.0,True,219,218,99.54337899543378,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E1PRE,steady_state,300.0,True,263,263,100.0,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E1A,steady_state,300.0,True,269,268,99.62825278810409,0,0,0,1,0.3731343283582089,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E1B,steady_state,300.0,True,280,279,99.64285714285714,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E4A_12pm,steady_state,220.0,True,218,217,99.54128440366972,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E4A_9pm,steady_state,220.0,True,208,207,99.51923076923077,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E4A_5pm,steady_state,220.0,True,218,218,100.0,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E1C,steady_state,300.0,True,397,396,99.74811083123426,0,0,0,0,0.0,0,"notch 50.0 Q=30.0, BP (0.5, 40.0)",scipy Pan-Tompkins + NK2 ecg_peaks+Kubios
E3_walk,transient,180.0,True,,213,,0,0,0,0,0.0,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
E4B_sleep,exploratory,860.0,True,,756,,0,0,0,0,0.0,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
E2A_insp_1,transient,120.0,True,,141,,0,0,0,2,1.4184397163120568,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
E2A_insp_2,transient,120.0,True,,131,,0,0,0,0,0.0,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
E2B_exp_1,transient,120.0,True,,116,,0,0,0,1,0.8620689655172413,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
E2B_exp_2,transient,120.0,True,,117,,0,0,0,3,2.564102564102564,,"notch 50.0 Q=30.0, BP (0.5, 40.0)",NK2 ecg_peaks+Kubios
