window_s,metric,n_windows,mean,std,cv_pct
30,sdnn_ms,37,71.20203979197484,18.78522712790823,26.382990126113643
30,lf_ms2,37,658.4540328190379,1155.7215684641856,175.52046321535872
30,hf_ms2,37,2839.8680414035266,1563.855480754914,55.06789252017575
60,sdnn_ms,17,73.46761341803366,12.89850739292824,17.556725736461882
60,lf_ms2,17,798.4177900962865,948.1422141120381,118.75264127039247
60,hf_ms2,17,3064.088359313015,1236.1614931725842,40.343532829769245
120,sdnn_ms,7,71.62964169112557,7.699728884871205,10.749361162622078
120,lf_ms2,7,709.7403929978224,603.088670700219,84.97313618474995
120,hf_ms2,7,3001.800522335188,750.7590495322034,25.01029112181532
180,sdnn_ms,3,72.16736634629548,4.241453470013645,5.877245747975627
180,lf_ms2,3,442.2421683241053,121.21677151451637,27.409591440335113
180,hf_ms2,3,2790.913262010147,104.02228401116368,3.7271772443491114
240,sdnn_ms,2,74.92698488084571,4.775409537619892,6.373417461297946
240,lf_ms2,2,774.914453497638,295.22196107756736,38.09736155327334
240,hf_ms2,2,3106.4764001059602,311.15994639003355,10.016491558713275
300,sdnn_ms,1,79.86910033667245,,
300,lf_ms2,1,874.0570281109168,,
300,hf_ms2,1,3205.2509458396817,,
