condition,rate_bpm,delta_hz,is_primary,target_hz,f_resp_hz,rr_peak_hz,abs_df_imu_metronome_hz,imu_confirmed,RMSSD_ms,LF_total,HF_total,LFHF_naive,RSA_in_LF,RSA_in_HF,P_resp,pct_RSA_in_LF,LF_residual,vagal_corr,LFHF_corr
12/min,12,0.015,True,0.2,0.1953125,0.203125,0.004687500000000011,True,47.73867909234064,279.26500516249513,1241.5809725495822,0.22492693697538343,0.0,511.9946253778925,511.9946253778925,0.0,279.26500516249513,1241.5809725495822,0.22492693697538343
12/min,12,0.02,False,0.2,0.1953125,0.203125,0.004687500000000011,True,47.73867909234064,279.26500516249513,1241.5809725495822,0.22492693697538343,0.0,511.9946253778925,511.9946253778925,0.0,279.26500516249513,1241.5809725495822,0.22492693697538343
12/min,12,0.025,False,0.2,0.1953125,0.203125,0.004687500000000011,True,47.73867909234064,279.26500516249513,1241.5809725495822,0.22492693697538343,0.0,1095.5032826917432,1095.5032826917432,0.0,279.26500516249513,1241.5809725495822,0.22492693697538343
9/min,9,0.015,True,0.15,0.146484375,0.15625,0.0035156249999999944,True,64.87897620491601,953.085854338076,1129.7749106600659,0.8436068506612879,0.0,1687.4959110906839,1465.4853166949695,0.0,953.085854338076,1129.7749106600659,0.8436068506612879
9/min,9,0.02,False,0.15,0.146484375,0.15625,0.0035156249999999944,True,64.87897620491601,953.085854338076,1129.7749106600659,0.8436068506612879,0.0,1687.4959110906839,1465.4853166949695,0.0,953.085854338076,1129.7749106600659,0.8436068506612879
9/min,9,0.025,False,0.15,0.146484375,0.15625,0.0035156249999999944,True,64.87897620491601,953.085854338076,1129.7749106600659,0.8436068506612879,0.0,1687.4959110906839,2112.1878985859566,0.0,953.085854338076,1129.7749106600659,0.8436068506612879
6/min,6,0.015,True,0.1,0.09765625,0.09375,0.0023437500000000056,True,60.43574490872774,5469.259953421673,473.68561436381566,11.546181238303326,2514.55503236603,0.0,2514.55503236603,45.97614766496656,2954.7049210556434,2988.2406467298456,0.9887774347387646
6/min,6,0.02,False,0.1,0.09765625,0.09375,0.0023437500000000056,True,60.43574490872774,5469.259953421673,473.68561436381566,11.546181238303326,3922.1084464560067,0.0,3922.1084464560067,71.71186741639993,1547.1515069656666,4395.794060819822,0.35196178109333914
6/min,6,0.025,False,0.1,0.09765625,0.09375,0.0023437500000000056,True,60.43574490872774,5469.259953421673,473.68561436381566,11.546181238303326,3922.1084464560067,0.0,3922.1084464560067,71.71186741639993,1547.1515069656666,4395.794060819822,0.35196178109333914
5/min,5,0.015,True,0.08333333333333333,0.08544921875,0.078125,0.0021158854166666713,True,53.94149780257483,7634.20647056674,437.4798292131099,17.450419335442966,3515.643994130771,0.0,3515.643994130771,46.05120398151585,4118.562476435969,3953.1238233438808,1.0418501065195946
5/min,5,0.02,False,0.08333333333333333,0.08544921875,0.078125,0.0021158854166666713,True,53.94149780257483,7634.20647056674,437.4798292131099,17.450419335442966,3515.643994130771,0.0,3515.643994130771,46.05120398151585,4118.562476435969,3953.1238233438808,1.0418501065195946
5/min,5,0.025,False,0.08333333333333333,0.08544921875,0.078125,0.0021158854166666713,True,53.94149780257483,7634.20647056674,437.4798292131099,17.450419335442966,7294.367166528902,0.0,7294.367166528902,95.54846590345612,339.8393040378378,7731.846995742012,0.04395318534174175
3/min,3,0.015,True,0.05,0.048828125,0.046875,0.0011718750000000028,True,55.24245017997294,8980.006786349551,514.2101275595372,17.463691018628978,6145.876653047386,0.0,6145.876653047386,68.43955466035607,2834.1301333021656,6660.086780606923,0.4255395202288785
3/min,3,0.02,False,0.05,0.048828125,0.046875,0.0011718750000000028,True,55.24245017997294,8980.006786349551,514.2101275595372,17.463691018628978,6145.876653047386,0.0,11232.107099659363,68.43955466035607,2834.1301333021656,6660.086780606923,0.4255395202288785
3/min,3,0.025,False,0.05,0.048828125,0.046875,0.0011718750000000028,True,55.24245017997294,8980.006786349551,514.2101275595372,17.463691018628978,6145.876653047386,0.0,11232.107099659363,68.43955466035607,2834.1301333021656,6660.086780606923,0.4255395202288785
