Condition,Bandwidth,Bandwidth value,Breathing rate (/min),Expected frequency (Hz),Band low (Hz),Band high (Hz),Resp-centered power (ms²),Total power 0.003–0.40 Hz (ms²),Resp-centered power (%),RR amplitude p95-p5 (ms)
E4A_3pm,±0.010 Hz,0.01,3.0,0.05,0.04,0.060000000000000005,6482.031906404712,16532.268398505497,39.20836360841251,405.5
E4A_5pm,±0.010 Hz,0.01,5.0,0.08333333333333333,0.07333333333333333,0.09333333333333332,3259.628815198059,7811.5292292936965,41.72843395342179,296.79999999999995
E4A_6pm,±0.010 Hz,0.01,6.0,0.1,0.09000000000000001,0.11,3738.1839024430988,5823.659343852058,64.1896045377283,292.80000000000007
E4A_9pm,±0.010 Hz,0.01,9.0,0.15,0.13999999999999999,0.16,2531.654074688353,4374.872469966525,57.86806568804334,239.5
E4A_12pm,±0.010 Hz,0.01,12.0,0.2,0.19,0.21000000000000002,489.93107856093627,2109.049522670139,23.22994663210489,156.5
E4A_3pm,±0.015 Hz,0.015,3.0,0.05,0.035,0.065,13459.752591534154,16532.268398505497,81.41503795541394,405.5
E4A_5pm,±0.015 Hz,0.015,5.0,0.08333333333333333,0.06833333333333333,0.09833333333333333,6654.323871963936,7811.5292292936965,85.18593064991458,296.79999999999995
E4A_6pm,±0.015 Hz,0.015,6.0,0.1,0.085,0.115,4289.419704205613,5823.659343852058,73.65505863137211,292.80000000000007
E4A_9pm,±0.015 Hz,0.015,9.0,0.15,0.135,0.16499999999999998,2987.1194559818523,4374.872469966525,68.27900645078023,239.5
E4A_12pm,±0.015 Hz,0.015,12.0,0.2,0.185,0.21500000000000002,1003.2819592322294,2109.049522670139,47.570336706083374,156.5
E4A_3pm,±0.020 Hz,0.02,3.0,0.05,0.030000000000000002,0.07,13878.593881675288,16532.268398505497,83.94851539507972,405.5
E4A_5pm,±0.020 Hz,0.02,5.0,0.08333333333333333,0.06333333333333332,0.10333333333333333,6786.059550919468,7811.5292292936965,86.87235689359444,296.79999999999995
E4A_6pm,±0.020 Hz,0.02,6.0,0.1,0.08,0.12000000000000001,4458.262048648061,5823.659343852058,76.5543069299645,292.80000000000007
E4A_9pm,±0.020 Hz,0.02,9.0,0.15,0.13,0.16999999999999998,3155.1330080632006,4374.872469966525,72.11942815986455,239.5
E4A_12pm,±0.020 Hz,0.02,12.0,0.2,0.18000000000000002,0.22,1025.104079112725,2109.049522670139,48.60502648676088,156.5
